Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
A    ,425679,41.884489,12/2/2014,331173853.9,41.6,42.08,2014436,buy,Dilbert
AA   ,168484,17.250034,12/2/2014,1171341171,17.06,17.36,13499060,buy,Dilbert
AAC  ,15034,31.033741,12/2/2014,20108616.24,30.6,32.24,81265,buy,Dilbert
AACAY,99,56.45,12/2/2014,124261063,99,99,172899,buy,Dilbert
AAGIY,157582,22.662883,12/2/2014,2974289227,99,99,7335230,buy,Dilbert
AAL  ,666992,47.917533,12/2/2014,716758728.1,47.17,48.69,11851110,buy,Dilbert
AAMC ,203,489.235,12/2/2014,2212183.06,482.99,490.21,7614,buy,Dilbert
AAN  ,25315,27.943823,12/2/2014,73545222.82,27.75,28.827,508598,buy,Dilbert
AAOI ,47299,9.903037,12/2/2014,15370888.09,9.55,10.26,822485,buy,Dilbert
AAON ,172142,20.62154,12/2/2014,54265775.59,20.55,20.78,377999,buy,Dilbert
AAP  ,457504,148.098134,12/2/2014,71880857.57,145.48,148.7056,1022726,buy,Dilbert
AAPL ,2483977,114.736439,12/2/2014,5882136385,112.755,115.75,59205320,buy,Dilbert
AAT  ,2548,39.084198,12/2/2014,43142070.77,38.7,39.09,231129,buy,Dilbert
AAU  ,400,1.02,12/2/2014,70085614.83,1.01,1.04,265700,buy,Dilbert
AAUKY,74481,10.214869,12/2/2014,2803153862,99,99,16475371,buy,Dilbert
AAV  ,16700,4.440705,12/2/2014,170123856,4.37,4.61,1551249,buy,Dilbert
AAVL ,7400,39.132716,12/2/2014,21786291.18,38.73,39.93,134769,buy,Dilbert
AAWW ,3101,45.647941,12/2/2014,24176981.58,44.49,46.65,371573,buy,Dilbert
AAXJ ,416,62.23,12/2/2014,46139036.2,62.1999,62.24,2239417,buy,Dilbert
AB   ,17204,26.374167,12/2/2014,97365882.79,26.31,26.6,228161,buy,Dilbert
ABAX ,6463,56.719385,12/2/2014,22322700.18,56.13,57.16,119275,buy,Dilbert
ABB  ,20391,21.96578,12/2/2014,2326414631,21.91,21.99,12598712,buy,Dilbert
ABBV ,587331,69.115357,12/2/2014,1593039987,65.05,69.44,6490667,buy,Dilbert
ABC  ,183023,91.657853,12/2/2014,216744934.4,90.93,92.49,1769841,buy,Dilbert
ABCB ,1446,24.8119,12/2/2014,27852399.05,24.65,24.65,74906,buy,Dilbert
ABCO ,71314,41.290525,12/2/2014,36855647.32,40.56,42.32,597419,buy,Dilbert
ABDNY,6111,14.485792,12/2/2014,651600931.3,99,99,4875912,buy,Dilbert
ABEV ,1370252,6.148022,12/2/2014,15913818715,6.07,6.29,33775191,buy,Dilbert
ABG  ,4462,75.745926,12/2/2014,29377766.1,74.75,76.03,368210,buy,Dilbert
ABM  ,16296,27.25849,12/2/2014,55157219.04,27.09,27.3,125269,buy,Dilbert
ABMD ,7716,35.310897,12/2/2014,40535229.89,35,35.37,323569,buy,Dilbert
ABR  ,22914,6.9231,12/2/2014,50454397.45,6.93,6.93,74548,buy,Dilbert
ABT  ,507284,45.201099,12/2/2014,1476471044,44.28,45.535,10943950,buy,Dilbert
ABTL ,100,10.94,12/2/2014,8690618.83,10.88,10.88,98453,buy,Dilbert
ABX  ,201768,12.012454,12/2/2014,1203638956,11.885,12.31,19902773,buy,Dilbert
ABY  ,11909,27.2949,12/2/2014,82877900.73,27,28.6338,1286033,buy,Dilbert
